"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","new.ident","integrated_snn_res.0.8","seurat_clusters"
"cell_969_2","cell",950,625,0.315789473684211,"t2","6","6"
"cell_970_2","cell",952,635,0.315126050420168,"t2","6","6"
"cell_971_2","cell",952,667,0.315126050420168,"t2","4","4"
"cell_972_2","cell",949,515,0.210748155953635,"t2","6","6"
"cell_973_2","cell",947,638,0,"t2","4","4"
"cell_974_2","cell",942,645,1.91082802547771,"t2","15","15"
"cell_975_2","cell",946,560,1.05708245243129,"t2","3","3"
"cell_976_2","cell",943,567,0,"t2","4","4"
"cell_977_2","cell",939,575,0.106496272630458,"t2","4","4"
"cell_978_2","cell",938,526,0.746268656716418,"t2","6","6"
"cell_979_2","cell",936,581,1.38888888888889,"t2","6","6"
"cell_980_2","cell",933,669,2.03644158628081,"t2","10","10"
"cell_981_2","cell",935,611,0.748663101604278,"t2","6","6"
"cell_982_2","cell",930,573,1.61290322580645,"t2","4","4"
"cell_983_2","cell",920,699,0.217391304347826,"t2","9","9"
"cell_984_2","cell",921,604,2.17155266015201,"t2","1","1"
"cell_985_2","cell",918,593,2.17864923747277,"t2","6","6"
"cell_986_2","cell",914,613,1.31291028446389,"t2","6","6"
"cell_987_2","cell",910,556,0.659340659340659,"t2","4","4"
"cell_988_2","cell",904,489,0,"t2","12","12"
"cell_989_2","cell",905,631,1.43646408839779,"t2","11","11"
"cell_991_2","cell",896,585,1.11607142857143,"t2","12","12"
"cell_992_2","cell",892,638,1.00896860986547,"t2","1","1"
"cell_993_2","cell",888,635,1.46396396396396,"t2","12","12"
"cell_994_2","cell",890,627,0.786516853932584,"t2","6","6"
"cell_995_2","cell",882,601,1.36054421768707,"t2","3","3"
"cell_996_2","cell",883,528,1.01925254813137,"t2","6","6"
"cell_997_2","cell",882,646,0.113378684807256,"t2","4","4"
"cell_998_2","cell",879,631,2.73037542662116,"t2","1","1"
"cell_999_2","cell",879,630,1.59271899886234,"t2","6","6"
"cell_1000_2","cell",872,592,0,"t2","11","11"
"cell_1001_2","cell",871,595,1.37772675086108,"t2","6","6"
"cell_1002_2","cell",866,630,0.69284064665127,"t2","3","3"
"cell_1003_2","cell",863,563,2.54924681344148,"t2","4","4"
"cell_1004_2","cell",863,480,0.347624565469293,"t2","4","4"
"cell_1005_2","cell",862,563,1.74013921113689,"t2","15","15"
"cell_1006_2","cell",855,618,0,"t2","15","15"
"cell_1007_2","cell",861,411,4.52961672473868,"t2","5","5"
"cell_1008_2","cell",857,635,2.56709451575263,"t2","3","3"
"cell_1009_2","cell",855,524,0.350877192982456,"t2","6","6"
"cell_1010_2","cell",854,555,2.34192037470726,"t2","15","15"
"cell_1011_2","cell",855,508,0,"t2","0","0"
"cell_1012_2","cell",857,610,0.700116686114352,"t2","1","1"
"cell_1013_2","cell",850,837,0.823529411764706,"t2","1","1"
"cell_1014_2","cell",850,606,0.588235294117647,"t2","4","4"
"cell_1015_2","cell",851,536,1.29259694477086,"t2","6","6"
"cell_1016_2","cell",850,580,0.823529411764706,"t2","6","6"
"cell_1017_2","cell",847,497,0,"t2","6","6"
"cell_1018_2","cell",841,669,0,"t2","8","8"
"cell_1019_2","cell",837,386,2.7479091995221,"t2","4","4"
"cell_1020_2","cell",836,570,0.358851674641148,"t2","1","1"
"cell_1021_2","cell",835,491,0.239520958083832,"t2","6","6"
"cell_1022_2","cell",829,627,0.241254523522316,"t2","4","4"
"cell_1023_2","cell",823,515,2.67314702308627,"t2","5","5"
"cell_1024_2","cell",825,530,0.727272727272727,"t2","6","6"
"cell_1025_2","cell",825,510,0.606060606060606,"t2","4","4"
"cell_1026_2","cell",823,477,0.850546780072904,"t2","4","4"
"cell_1027_2","cell",823,579,0.364520048602673,"t2","4","4"
"cell_1028_2","cell",816,572,0.245098039215686,"t2","1","1"
"cell_1029_2","cell",819,577,2.1978021978022,"t2","6","6"
"cell_1030_2","cell",816,541,0,"t2","6","6"
"cell_1031_2","cell",817,519,0.122399020807834,"t2","6","6"
"cell_1032_2","cell",817,517,0.734394124847001,"t2","6","6"
"cell_1033_2","cell",807,577,1.23915737298637,"t2","13","13"
"cell_1034_2","cell",816,594,1.47058823529412,"t2","4","4"
"cell_1035_2","cell",813,588,1.5990159901599,"t2","1","1"
"cell_1036_2","cell",815,421,0.98159509202454,"t2","4","4"
"cell_1037_2","cell",812,514,1.84729064039409,"t2","4","4"
"cell_1038_2","cell",810,483,0,"t2","11","11"
"cell_1039_2","cell",808,508,1.11386138613861,"t2","6","6"
"cell_1040_2","cell",809,483,0.247218788627936,"t2","12","12"
"cell_1041_2","cell",810,540,1.48148148148148,"t2","6","6"
"cell_1042_2","cell",805,480,3.72670807453416,"t2","4","4"
"cell_1043_2","cell",807,512,0.247831474597274,"t2","4","4"
"cell_1044_2","cell",807,513,1.23915737298637,"t2","12","12"
"cell_1045_2","cell",803,549,0.24906600249066,"t2","4","4"
"cell_1046_2","cell",795,550,0.377358490566038,"t2","6","6"
"cell_1047_2","cell",802,534,0.124688279301746,"t2","6","6"
"cell_1048_2","cell",801,571,0.873907615480649,"t2","0","0"
"cell_1049_2","cell",798,565,1.00250626566416,"t2","6","6"
"cell_1050_2","cell",798,598,0,"t2","1","1"
"cell_1051_2","cell",795,552,1.63522012578616,"t2","1","1"
"cell_1052_2","cell",795,510,0.754716981132076,"t2","4","4"
"cell_1053_2","cell",794,511,1.13350125944584,"t2","6","6"
"cell_1054_2","cell",790,412,0.759493670886076,"t2","12","12"
"cell_1055_2","cell",791,510,0.884955752212389,"t2","4","4"
"cell_1056_2","cell",789,619,0.126742712294043,"t2","2","2"
"cell_1057_2","cell",788,530,1.6497461928934,"t2","6","6"
"cell_1058_2","cell",781,582,0.768245838668374,"t2","3","3"
"cell_1059_2","cell",785,530,1.78343949044586,"t2","0","0"
"cell_1060_2","cell",782,543,0.127877237851662,"t2","0","0"
"cell_1061_2","cell",782,585,0.255754475703325,"t2","1","1"
"cell_1062_2","cell",776,589,0.257731958762887,"t2","7","7"
"cell_1063_2","cell",777,503,0.772200772200772,"t2","6","6"
"cell_1064_2","cell",777,515,1.15830115830116,"t2","6","6"
"cell_1065_2","cell",771,546,1.55642023346304,"t2","2","2"
"cell_1066_2","cell",774,522,1.16279069767442,"t2","0","0"
"cell_1067_2","cell",773,526,0.388098318240621,"t2","4","4"
"cell_1068_2","cell",766,571,1.30548302872063,"t2","4","4"
"cell_1069_2","cell",770,499,3.24675324675325,"t2","6","6"
"cell_1070_2","cell",771,499,0.648508430609598,"t2","1","1"
"cell_1071_2","cell",768,504,0,"t2","6","6"
"cell_1072_2","cell",764,536,2.87958115183246,"t2","6","6"
"cell_1073_2","cell",764,548,0.916230366492147,"t2","2","2"
"cell_1074_2","cell",761,467,0.657030223390276,"t2","6","6"
"cell_1075_2","cell",761,456,0.657030223390276,"t2","6","6"
"cell_1076_2","cell",759,519,1.84453227931489,"t2","6","6"
"cell_1077_2","cell",756,581,0.793650793650794,"t2","5","5"
"cell_1078_2","cell",751,512,1.4647137150466,"t2","6","6"
"cell_1079_2","cell",747,405,1.87416331994645,"t2","0","0"
"cell_1080_2","cell",750,448,0.266666666666667,"t2","6","6"
"cell_1081_2","cell",747,499,2.81124497991968,"t2","1","1"
"cell_1082_2","cell",743,539,0.269179004037685,"t2","0","0"
"cell_1083_2","cell",741,571,0.404858299595142,"t2","4","4"
"cell_1084_2","cell",742,523,2.2911051212938,"t2","6","6"
"cell_1085_2","cell",740,556,0.675675675675676,"t2","4","4"
"cell_1086_2","cell",741,363,1.75438596491228,"t2","4","4"
"cell_1087_2","cell",739,491,1.89445196211096,"t2","6","6"
"cell_1088_2","cell",740,535,0,"t2","6","6"
"cell_1089_2","cell",740,529,0.945945945945946,"t2","0","0"
"cell_1090_2","cell",740,491,0.810810810810811,"t2","6","6"
"cell_1091_2","cell",734,483,0.136239782016349,"t2","8","8"
"cell_1092_2","cell",734,463,2.04359673024523,"t2","6","6"
"cell_1093_2","cell",734,440,0.272479564032698,"t2","1","1"
"cell_1094_2","cell",732,528,0,"t2","1","1"
"cell_1095_2","cell",730,480,3.56164383561644,"t2","5","5"
"cell_1096_2","cell",724,420,0.828729281767956,"t2","6","6"
"cell_1097_2","cell",726,434,1.37741046831956,"t2","6","6"
"cell_1098_2","cell",725,474,0.689655172413793,"t2","6","6"
"cell_1099_2","cell",723,437,0.276625172890733,"t2","0","0"
"cell_1100_2","cell",722,511,0.138504155124654,"t2","6","6"
"cell_1101_2","cell",718,469,1.1142061281337,"t2","6","6"
"cell_1102_2","cell",716,457,3.2122905027933,"t2","6","6"
"cell_1103_2","cell",715,550,0.559440559440559,"t2","4","4"
"cell_1104_2","cell",715,470,0,"t2","4","4"
"cell_1105_2","cell",714,503,0.700280112044818,"t2","6","6"
"cell_1106_2","cell",710,514,0,"t2","1","1"
"cell_1107_2","cell",707,491,0.282885431400283,"t2","6","6"
"cell_1109_2","cell",708,470,0.706214689265537,"t2","6","6"
"cell_1110_2","cell",709,450,1.41043723554302,"t2","6","6"
"cell_1111_2","cell",705,451,0.283687943262411,"t2","6","6"
"cell_1112_2","cell",705,478,0.425531914893617,"t2","6","6"
"cell_1113_2","cell",699,518,0.572246065808298,"t2","1","1"
"cell_1114_2","cell",699,529,1.1444921316166,"t2","15","15"
"cell_1116_2","cell",697,456,0.430416068866571,"t2","1","1"
"cell_1117_2","cell",691,524,0.723589001447178,"t2","15","15"
"cell_1118_2","cell",694,480,2.01729106628242,"t2","0","0"
"cell_1119_2","cell",696,457,0.28735632183908,"t2","6","6"
"cell_1120_2","cell",690,505,0.579710144927536,"t2","0","0"
"cell_1121_2","cell",690,474,1.44927536231884,"t2","5","5"
"cell_1122_2","cell",687,456,0.582241630276565,"t2","12","12"
"cell_1123_2","cell",686,473,0.583090379008746,"t2","6","6"
"cell_1124_2","cell",683,503,0.146412884333821,"t2","8","8"
"cell_1125_2","cell",683,503,2.92825768667643,"t2","4","4"
"cell_1126_2","cell",675,499,0.148148148148148,"t2","15","15"
"cell_1127_2","cell",679,502,0.736377025036819,"t2","1","1"
"cell_1128_2","cell",679,520,0.589101620029455,"t2","1","1"
"cell_1129_2","cell",678,521,0.294985250737463,"t2","6","6"
"cell_1130_2","cell",675,397,1.48148148148148,"t2","6","6"
"cell_1131_2","cell",672,459,1.63690476190476,"t2","4","4"
"cell_1132_2","cell",668,403,0.748502994011976,"t2","6","6"
"cell_1133_2","cell",666,451,4.65465465465465,"t2","5","5"
"cell_1134_2","cell",660,454,0.151515151515152,"t2","6","6"
"cell_1135_2","cell",658,505,2.12765957446809,"t2","1","1"
"cell_1136_2","cell",655,505,0.916030534351145,"t2","4","4"
"cell_1137_2","cell",654,497,0.458715596330275,"t2","0","0"
"cell_1138_2","cell",649,468,0.462249614791988,"t2","4","4"
"cell_1139_2","cell",654,403,3.05810397553517,"t2","6","6"
"cell_1140_2","cell",652,479,1.53374233128834,"t2","11","11"
"cell_1142_2","cell",651,477,0.614439324116744,"t2","6","6"
"cell_1143_2","cell",649,442,0.154083204930663,"t2","4","4"
"cell_1144_2","cell",644,492,0.15527950310559,"t2","4","4"
"cell_1145_2","cell",646,505,0.464396284829721,"t2","0","0"
"cell_1146_2","cell",643,450,1.5552099533437,"t2","6","6"
"cell_1147_2","cell",644,420,0.77639751552795,"t2","4","4"
"cell_1148_2","cell",640,472,3.125,"t2","0","0"
"cell_1149_2","cell",638,440,0.626959247648903,"t2","6","6"
"cell_1150_2","cell",634,446,0,"t2","1","1"
"cell_1151_2","cell",630,438,0.952380952380952,"t2","6","6"
"cell_1152_2","cell",628,474,0.159235668789809,"t2","4","4"
"cell_1153_2","cell",627,396,0.478468899521531,"t2","2","2"
"cell_1154_2","cell",630,394,0.317460317460317,"t2","12","12"
"cell_1155_2","cell",625,423,2.08,"t2","12","12"
"cell_1156_2","cell",627,423,3.66826156299841,"t2","1","1"
"cell_1157_2","cell",620,459,1.61290322580645,"t2","6","6"
"cell_1158_2","cell",616,401,0.162337662337662,"t2","12","12"
"cell_1159_2","cell",619,418,0.484652665589661,"t2","0","0"
"cell_1160_2","cell",610,440,0.163934426229508,"t2","8","8"
"cell_1161_2","cell",613,381,0.489396411092985,"t2","1","1"
"cell_1162_2","cell",610,514,0,"t2","8","8"
"cell_1163_2","cell",615,428,1.78861788617886,"t2","4","4"
"cell_1164_2","cell",609,458,1.14942528735632,"t2","15","15"
"cell_1165_2","cell",610,448,0,"t2","6","6"
"cell_1166_2","cell",608,395,1.15131578947368,"t2","6","6"
"cell_1167_2","cell",601,477,0.332778702163062,"t2","0","0"
"cell_1168_2","cell",605,412,0.991735537190083,"t2","6","6"
"cell_1169_2","cell",604,501,0.165562913907285,"t2","5","5"
"cell_1170_2","cell",602,412,4.65116279069767,"t2","4","4"
"cell_1171_2","cell",599,432,0.667779632721202,"t2","1","1"
"cell_1172_2","cell",601,443,2.1630615640599,"t2","6","6"
"cell_1173_2","cell",600,464,0.5,"t2","6","6"
"cell_1174_2","cell",592,326,0.168918918918919,"t2","0","0"
"cell_1175_2","cell",594,376,0.673400673400673,"t2","6","6"
"cell_1176_2","cell",591,485,0.846023688663283,"t2","8","8"
"cell_1177_2","cell",591,457,0.50761421319797,"t2","4","4"
"cell_1178_2","cell",587,444,0.340715502555366,"t2","0","0"
"cell_1179_2","cell",584,404,0,"t2","6","6"
"cell_1180_2","cell",584,429,1.71232876712329,"t2","4","4"
"cell_1181_2","cell",583,436,0.343053173241852,"t2","6","6"
"cell_1182_2","cell",574,458,0.174216027874564,"t2","1","1"
"cell_1183_2","cell",575,438,2.08695652173913,"t2","6","6"
"cell_1184_2","cell",568,386,0.176056338028169,"t2","12","12"
"cell_1185_2","cell",569,371,2.10896309314587,"t2","1","1"
"cell_1186_2","cell",570,397,1.2280701754386,"t2","6","6"
"cell_1187_2","cell",567,416,1.05820105820106,"t2","6","6"
"cell_1188_2","cell",569,416,0.878734622144113,"t2","6","6"
"cell_1189_2","cell",569,426,0,"t2","1","1"
"cell_1190_2","cell",564,428,2.83687943262411,"t2","13","13"
"cell_1191_2","cell",567,417,0,"t2","1","1"
"cell_1192_2","cell",565,424,0.707964601769911,"t2","6","6"
"cell_1193_2","cell",564,472,0,"t2","0","0"
"cell_1194_2","cell",563,391,0,"t2","4","4"
"cell_1195_2","cell",560,341,0,"t2","0","0"
"cell_1196_2","cell",563,313,0.355239786856128,"t2","11","11"
"cell_1197_2","cell",558,443,2.1505376344086,"t2","2","2"
"cell_1198_2","cell",560,403,0.535714285714286,"t2","6","6"
"cell_1199_2","cell",562,325,0.355871886120996,"t2","0","0"
"cell_1200_2","cell",560,377,1.07142857142857,"t2","4","4"
"cell_1201_2","cell",558,417,2.1505376344086,"t2","6","6"
"cell_1202_2","cell",553,419,0.361663652802893,"t2","8","8"
"cell_1203_2","cell",556,414,1.07913669064748,"t2","6","6"
"cell_1204_2","cell",552,434,0,"t2","1","1"
"cell_1205_2","cell",550,413,0.363636363636364,"t2","6","6"
"cell_1206_2","cell",551,425,2.17785843920145,"t2","1","1"
"cell_1207_2","cell",549,402,0.728597449908925,"t2","11","11"
"cell_1208_2","cell",550,383,1.63636363636364,"t2","0","0"
"cell_1209_2","cell",549,369,2.55009107468124,"t2","6","6"
"cell_1210_2","cell",546,438,2.01465201465201,"t2","0","0"
"cell_1211_2","cell",546,411,0.549450549450549,"t2","4","4"
"cell_1212_2","cell",548,386,2.00729927007299,"t2","6","6"
"cell_1213_2","cell",547,428,1.64533820840951,"t2","2","2"
"cell_1214_2","cell",540,376,0.37037037037037,"t2","15","15"
"cell_1215_2","cell",544,421,1.47058823529412,"t2","4","4"
"cell_1216_2","cell",543,431,0.368324125230203,"t2","6","6"
"cell_1217_2","cell",542,394,3.3210332103321,"t2","6","6"
"cell_1218_2","cell",542,416,2.76752767527675,"t2","1","1"
"cell_1219_2","cell",539,409,1.2987012987013,"t2","6","6"
"cell_1220_2","cell",540,432,1.2962962962963,"t2","5","5"
"cell_1221_2","cell",538,380,0.185873605947955,"t2","0","0"
"cell_1222_2","cell",535,340,1.1214953271028,"t2","6","6"
"cell_1223_2","cell",536,388,0,"t2","0","0"
"cell_1224_2","cell",533,281,0.938086303939963,"t2","12","12"
"cell_1225_2","cell",533,348,1.12570356472795,"t2","6","6"
"cell_1226_2","cell",522,415,0.957854406130268,"t2","3","3"
"cell_1227_2","cell",530,393,1.32075471698113,"t2","6","6"
"cell_1228_2","cell",528,300,0.378787878787879,"t2","4","4"
"cell_1229_2","cell",528,375,1.13636363636364,"t2","4","4"
"cell_1230_2","cell",526,366,0.950570342205323,"t2","6","6"
"cell_1231_2","cell",521,410,0,"t2","6","6"
"cell_1232_2","cell",522,300,3.25670498084291,"t2","0","0"
"cell_1233_2","cell",523,287,0,"t2","4","4"
"cell_1234_2","cell",520,386,0.192307692307692,"t2","0","0"
"cell_1235_2","cell",517,370,0.773694390715667,"t2","6","6"
"cell_1236_2","cell",517,366,0.386847195357834,"t2","1","1"
"cell_1237_2","cell",518,416,1.15830115830116,"t2","6","6"
"cell_1238_2","cell",517,335,1.1605415860735,"t2","4","4"
"cell_1239_2","cell",514,406,0.194552529182879,"t2","1","1"
"cell_1240_2","cell",509,412,0.982318271119843,"t2","2","2"
"cell_1241_2","cell",514,343,0.389105058365759,"t2","9","9"
"cell_1242_2","cell",512,332,1.953125,"t2","4","4"
"cell_1243_2","cell",512,394,0.9765625,"t2","4","4"
"cell_1244_2","cell",510,358,0.588235294117647,"t2","0","0"
"cell_1245_2","cell",511,258,1.17416829745597,"t2","4","4"
"cell_1246_2","cell",510,377,2.54901960784314,"t2","5","5"
"cell_1247_2","cell",508,364,1.96850393700787,"t2","0","0"
"cell_1248_2","cell",508,414,1.37795275590551,"t2","10","10"
"cell_1249_2","cell",501,371,2.59481037924152,"t2","1","1"
"cell_1250_2","cell",506,390,0.790513833992095,"t2","1","1"
"cell_1251_2","cell",505,345,0.396039603960396,"t2","1","1"
"cell_1252_2","cell",506,335,0.395256916996047,"t2","1","1"
"cell_1253_2","cell",505,404,0.594059405940594,"t2","1","1"
"cell_1254_2","cell",502,410,2.39043824701195,"t2","10","10"
"cell_1255_2","cell",502,338,2.98804780876494,"t2","6","6"
"cell_1256_2","cell",500,415,0.6,"t2","7","7"
"cell_1257_2","cell",502,389,0.99601593625498,"t2","1","1"
"cell_1258_2","cell",503,385,0.397614314115308,"t2","12","12"
"cell_1259_2","cell",501,324,2.9940119760479,"t2","4","4"
"cell_1260_2","cell",499,406,1.20240480961924,"t2","0","0"
"cell_1261_2","cell",500,345,3.2,"t2","1","1"
"cell_2_3","cell",12689,4978,0.228544408542832,"t3","2","2"
"cell_3_3","cell",12173,4910,0.188942742134231,"t3","8","8"
"cell_4_3","cell",11818,4670,0.524623455745473,"t3","5","5"
"cell_5_3","cell",11632,4590,0.146148555708391,"t3","2","2"
"cell_6_3","cell",11541,4638,0.268607573000607,"t3","7","7"
"cell_7_3","cell",11457,4634,0.305490093392686,"t3","2","2"
"cell_8_3","cell",11330,4502,0.370697263901147,"t3","7","7"
"cell_9_3","cell",11327,4567,0.203054648185751,"t3","2","2"
"cell_10_3","cell",11328,4428,0.432556497175141,"t3","3","3"
"cell_11_3","cell",11152,4705,0.0717360114777618,"t3","3","3"
"cell_12_3","cell",11063,4481,0.17174365000452,"t3","2","2"
"cell_13_3","cell",11004,4434,0.209014903671392,"t3","7","7"
"cell_14_3","cell",10949,4501,0.136998812676957,"t3","2","2"
"cell_16_3","cell",10606,4209,0.820290401659438,"t3","2","2"
"cell_17_3","cell",10255,4115,0.331545587518284,"t3","2","2"
"cell_18_3","cell",10234,4028,0.293140512018761,"t3","7","7"
"cell_19_3","cell",10146,4374,0.216834220382417,"t3","8","8"
"cell_20_3","cell",10085,4145,0.475954387704512,"t3","1","1"
"cell_21_3","cell",10024,4282,0.229449321628093,"t3","7","7"
"cell_22_3","cell",9810,4377,0.642201834862385,"t3","5","5"
"cell_23_3","cell",9799,4251,0.11225635268905,"t3","2","2"
"cell_24_3","cell",9769,3938,0.266148019244549,"t3","7","7"
"cell_25_3","cell",9739,4366,0.143751925248999,"t3","8","8"
"cell_26_3","cell",9697,4249,0.525935856450449,"t3","3","3"
"cell_27_3","cell",9670,4210,0.0827300930713547,"t3","5","5"
"cell_28_3","cell",9662,3816,0.165597184847858,"t3","2","2"
"cell_29_3","cell",9574,3726,0.511802799247963,"t3","2","2"
"cell_30_3","cell",9535,4321,0.0524383848977451,"t3","7","7"
"cell_31_3","cell",9543,3977,0.0943099654196794,"t3","3","3"
"cell_32_3","cell",9440,4151,0.963983050847458,"t3","13","13"
"cell_33_3","cell",9399,3938,0.212788594531333,"t3","3","3"
"cell_34_3","cell",9344,4046,0.235445205479452,"t3","2","2"
"cell_35_3","cell",9336,3838,0.182090831191088,"t3","2","2"
"cell_36_3","cell",9304,3763,0.483662940670679,"t3","3","3"
"cell_37_3","cell",9253,3957,0.551172592672647,"t3","2","2"
"cell_38_3","cell",9213,4069,0.217084554433952,"t3","5","5"
"cell_39_3","cell",9206,3895,0.434499239626331,"t3","1","1"
"cell_40_3","cell",9208,4321,0.0868809730668983,"t3","3","3"
"cell_41_3","cell",9185,3894,0.424605334784975,"t3","2","2"
"cell_42_3","cell",9182,3682,1.67719451099978,"t3","13","13"
"cell_43_3","cell",9125,3908,0.405479452054795,"t3","8","8"
"cell_44_3","cell",8992,4073,0.244661921708185,"t3","2","2"
"cell_45_3","cell",8987,3919,0.344942695003895,"t3","2","2"
"cell_46_3","cell",8940,3779,0.671140939597315,"t3","2","2"
"cell_47_3","cell",8912,4338,0.0673249551166966,"t3","4","4"
"cell_48_3","cell",8920,3737,0.15695067264574,"t3","10","10"
"cell_49_3","cell",8927,3641,0.683320264366528,"t3","3","3"
"cell_50_3","cell",8902,3986,0.415636935520108,"t3","4","4"
"cell_51_3","cell",8871,3770,0.191635666779394,"t3","4","4"
"cell_52_3","cell",8867,3673,0.0563888575617458,"t3","4","4"
"cell_53_3","cell",8834,3834,0.350916911931175,"t3","2","2"
"cell_54_3","cell",8779,3473,2.49458936097505,"t3","1","1"
"cell_55_3","cell",8771,3918,0.102610876752936,"t3","8","8"
"cell_56_3","cell",8757,3956,0.365421948155761,"t3","2","2"
"cell_57_3","cell",8756,3627,0.376884422110553,"t3","2","2"
"cell_58_3","cell",8749,3693,0.182878043204938,"t3","7","7"
"cell_59_3","cell",8729,3793,0.286401649673502,"t3","4","4"
"cell_60_3","cell",8707,3843,0.183760192948203,"t3","8","8"
"cell_61_3","cell",8710,3828,0.149253731343284,"t3","7","7"
"cell_62_3","cell",8690,3429,0.218642117376295,"t3","9","9"
"cell_63_3","cell",8701,3769,0.425238478335823,"t3","3","3"
"cell_64_3","cell",8624,3388,0.150742115027829,"t3","4","4"
"cell_65_3","cell",8628,3429,0.45201668984701,"t3","2","2"
"cell_66_3","cell",8610,3805,0.267131242740999,"t3","13","13"
"cell_67_3","cell",8503,3580,0.482182759026226,"t3","13","13"
"cell_68_3","cell",8372,3245,0.0358337314859054,"t3","4","4"
"cell_69_3","cell",8357,3228,0.227354313748953,"t3","9","9"
"cell_70_3","cell",8360,3473,0.227272727272727,"t3","1","1"
"cell_71_3","cell",8345,4119,0.131815458358298,"t3","2","2"
"cell_72_3","cell",8330,3401,0.444177671068427,"t3","13","13"
"cell_73_3","cell",8295,3593,0.180831826401447,"t3","8","8"
"cell_74_3","cell",8303,3904,0.409490545585933,"t3","2","2"
"cell_75_3","cell",8268,3233,0.0604741170778907,"t3","9","9"
"cell_76_3","cell",8201,3612,0.731618095354225,"t3","2","2"
"cell_77_3","cell",8173,3646,1.0033035605041,"t3","2","2"
"cell_78_3","cell",8114,3241,0.529948237614,"t3","10","10"
"cell_79_3","cell",8109,3651,0.505611049451227,"t3","7","7"
"cell_80_3","cell",8077,3630,0.557137551070942,"t3","13","13"
"cell_81_3","cell",8064,3630,0.148809523809524,"t3","13","13"
"cell_82_3","cell",8064,3182,0.111607142857143,"t3","2","2"
"cell_83_3","cell",8034,3638,0.659696290764252,"t3","2","2"
"cell_84_3","cell",8036,3335,1.543056246889,"t3","1","1"
"cell_85_3","cell",7985,3586,0.313087038196619,"t3","8","8"
"cell_86_3","cell",7969,3753,0.803112059229514,"t3","8","8"
"cell_87_3","cell",7933,3535,0.415983864868272,"t3","1","1"
"cell_88_3","cell",7934,3360,4.27275018905974,"t3","1","1"
"cell_89_3","cell",7888,3513,0.164807302231237,"t3","3","3"
"cell_90_3","cell",7840,3596,0.178571428571429,"t3","5","5"
"cell_91_3","cell",7842,3333,0.140270339199184,"t3","6","6"
"cell_92_3","cell",7847,3516,0.637186185803492,"t3","4","4"
"cell_93_3","cell",7830,3458,0.549169859514687,"t3","13","13"
"cell_94_3","cell",7828,3329,0.396014307613694,"t3","3","3"
"cell_95_3","cell",7807,3385,0.435506596644037,"t3","2","2"
"cell_96_3","cell",7781,3574,0.411258193034314,"t3","1","1"
"cell_97_3","cell",7770,3175,0.334620334620335,"t3","3","3"
"cell_98_3","cell",7763,3225,0.373566920005153,"t3","3","3"
"cell_99_3","cell",7762,3613,0.515331100231899,"t3","7","7"
"cell_100_3","cell",7729,3941,0.258765687669815,"t3","8","8"
"cell_101_3","cell",7712,3376,0.440871369294606,"t3","2","2"
"cell_102_3","cell",7706,3481,0.207630417856216,"t3","1","1"
"cell_103_3","cell",7695,3219,0.558804418453541,"t3","3","3"
"cell_104_3","cell",7641,3512,0.0654364611961785,"t3","4","4"
"cell_105_3","cell",7604,3201,0.0920568122041031,"t3","5","5"
"cell_106_3","cell",7607,3574,0.368082029709478,"t3","2","2"
"cell_107_3","cell",7560,3413,0.0793650793650794,"t3","4","4"
"cell_108_3","cell",7529,3561,0.0796918581484925,"t3","3","3"
"cell_109_3","cell",7490,3557,0.400534045393859,"t3","2","2"
"cell_110_3","cell",7446,3735,0.523771152296535,"t3","2","2"
"cell_111_3","cell",7445,3343,0.376091336467428,"t3","13","13"
"cell_112_3","cell",7441,3621,0.430049724499395,"t3","4","4"
"cell_113_3","cell",7413,3325,0.21583704303251,"t3","1","1"
"cell_114_3","cell",7417,3471,0.188755561547796,"t3","7","7"
"cell_115_3","cell",7362,3347,0.2173322466721,"t3","4","4"
"cell_116_3","cell",7284,3230,0.42559033498078,"t3","2","2"
"cell_117_3","cell",7261,3459,0.192810907588486,"t3","2","2"
"cell_118_3","cell",7267,3273,1.12838860602725,"t3","2","2"
"cell_119_3","cell",7232,3263,0.456305309734513,"t3","1","1"
"cell_120_3","cell",7221,3261,0.249272953884504,"t3","5","5"
"cell_121_3","cell",7198,3277,0.36121144762434,"t3","4","4"
"cell_122_3","cell",7199,3584,0.111126545353521,"t3","2","2"
"cell_123_3","cell",7199,3212,0.388942908737325,"t3","7","7"
"cell_124_3","cell",7163,3506,0.293173251430965,"t3","2","2"
"cell_125_3","cell",7132,3411,0.0981491867638811,"t3","2","2"
"cell_126_3","cell",7114,3517,0.351419735732359,"t3","2","2"
"cell_127_3","cell",7083,3318,0.352957786248765,"t3","8","8"
"cell_128_3","cell",7072,3229,0.0707013574660633,"t3","1","1"
"cell_129_3","cell",6999,3175,0,"t3","4","4"
"cell_130_3","cell",6981,3137,0.787852743160006,"t3","14","14"
"cell_131_3","cell",6976,3087,0.157683486238532,"t3","2","2"
"cell_132_3","cell",6977,3085,0.315321771535044,"t3","3","3"
"cell_133_3","cell",6949,2741,0.345373435026623,"t3","4","4"
"cell_134_3","cell",6914,2974,0.115707260630605,"t3","5","5"
"cell_135_3","cell",6886,3091,0.159744408945687,"t3","3","3"
"cell_136_3","cell",6865,3249,0.393299344501092,"t3","2","2"
"cell_137_3","cell",6868,2804,1.00465928945836,"t3","3","3"
"cell_138_3","cell",6848,3139,0.350467289719626,"t3","13","13"
